row,id,name,distance,notes
2196,N16 Phe,,22.94,SB 411 days in YPC
2197,N16 Phe B,,22.94,
2198,N8 CMa,Ross 56,22.94,
2199,N9 LMi,,22.94,
2200,N10 CrB,Alphecca,22.94,eclipsing SB 17.36 days in YPC
2201,N10 CrB B,,22.94,
2202,N52 Boo,,22.94,
2203,N17 Pav,,22.95,
2204,N35 Cen,,22.95,
2205,N13 Tel,,22.95,
2206,N13 Tel B,,22.95,from HIP
2207,N17 Cap,,22.96,
2208,N21 Ari,,22.98,
2209,N21 Ari B,,22.98,
2210,N21 Ari C,,22.98,
2211,N14 Ind,,22.98,
2212,N14 Ind B,,22.98,from HIP
2213,N71 UMa,,22.99,
2214,N37 Cas,,22.99,
2215,N37 Cas B,,22.99,
2216,N7 Oct,,23.03,A&B have different HIP plx but plx err of B is large. Suspect the mismatch in PM is erroneous; and that the 2 comps are actually part of the same system.
2217,N7 Oct B,,23.03,A&B have different HIP plx but plx err of B is large. Suspect the mismatch in PM is erroneous; and that the 2 comps are actually part of the same system.
2218,N60 Cet,,23.03,
2219,N25 CVn,,23.03,
2220,N10 Lac,,23.04,
2221,N41 Psc,,23.04,
2222,N38 Cas,,23.04,
2223,N39 Cas,,23.04,
2224,N39 Cas B,,23.04,
2225,N46 Tau,,23.04,
2226,N46 Tau B,,23.04,
2227,N31 Cam,,23.05,
2228,N72 UMa,Ross 447,23.07,
2229,N32 Cyg,,23.08,
2230,N34 Ori,,23.09,
2231,N61 Cet,,23.09,
2232,N47 Aqr,,23.09,Possibly not within 25pc: Haw96 gives 95pc.
2233,N42 Psc,,23.1,SB in CNS91; SB2 in Gri87
2234,N42 Psc B,,23.1,spectroscopic companion
2235,N59 Vir,Wolf 1060,23.11,
2236,N20 Per,Ross 364,23.12,2 HIP numbers; only 1 parallax
2237,N20 Per B,Ross 365,23.12,
2238,N26 CVn,,23.12,
2239,N36 Cen,,23.13,
2240,N25 Cep,,23.15,
2241,N35 And,,23.15,
2242,N37 Leo,,23.16,
2243,N37 Leo B,,23.16,
2244,N27 CVn,,23.16,
2245,N27 CVn B,,23.16,from HIP; imaged companion in HIP
2246,N73 UMa,,23.16,
2247,N33 Cyg,,23.17,
2248,N15 Ind,,23.17,
2249,N22 Ari,,23.18,
2250,N47 Hya,,23.18,
2251,N43 Psc,,23.19,
2252,N26 Ser,,23.19,
2253,N36 And,,23.2,
2254,N36 And B,,23.2,
2255,N18 Mon,,23.2,
2256,N11 Lac,Ross 668,23.2,HIP number; no parallax; C optical in CNS91
2257,N11 Lac B,,23.2,
2258,N11 Lac C,,23.2,
2259,N5 Ret,,23.21,
2260,N14 Tel,,23.21,
2261,N31 Gem,,23.22,
2262,N74 UMa,,23.22,
2263,N60 Vir,,23.23,
2264,N16 Ind,,23.23,
2265,N75 UMa,,23.24,
2266,N75 UMa B,,23.24,SB 23.54 days in YPC
2267,N75 UMa C,,23.24,
2268,N22 Sco,,23.24,
2269,N61 Her,Wolf 835,23.25,
2270,N62 Cet,,23.26,
2271,N7 Lup,,23.26,
2272,N62 Her,,23.26,
2273,N28 Aql,,23.26,
2274,N17 Phe,,23.3,
2275,N63 Her,,23.3,
2276,N63 Her B,,23.3,
2277,N64 Her,,23.3,
2278,N64 Her B,,23.3,from HIP
2279,N65 Her,,23.3,
2280,N66 Her,,23.31,Updated RA error in PLX
2281,N49 Oph,Wolf 1471,23.31,
2282,N46 Eri,,23.32,
2283,N48 Hya,,23.32,
2284,N37 Cen,,23.35,CNS79 companion not confirmed/refuted
2285,N14 Gru,,23.36,
2286,N67 Her,,23.36,
2287,N34 Cyg,,23.36,
