row,id,name,distance,notes
100,N1 Lib C,,5.888,spectroscopic companion
101,N1 Lib D,,5.888,Brown Dwarf. Gl 570D not in CNS91
102,N1 Tel,,5.916,
103,N2 Psc,,5.934,
104,N1 Cas,Achird,5.939,
105,N1 Cas B,,5.939,SIMBAD GJ 34C incorrect
106,N1 Lup,,5.94,
107,N5 Cet,,5.954,
108,N5 Cet B,,5.954,
109,N3 CMi,,5.969,
110,N4 Oph,,5.97,
111,N4 Oph B,,5.97,
112,N4 Oph C,,5.97,"SB? in CNS91; CNS91 ""VAR"" not confirmed/refuted"
113,N2 Sgr,,6.049,
114,N2 Sgr B,,6.049,
115,N6 Eri,,6.06,
116,N4 Dra,,6.07,
117,N3 Pav,,6.11,
118,N1 Aur,,6.14,SB2 in Joy47
119,N1 Aur B,,6.14,spectroscopic companion
120,N2 Lib,,6.14,
121,N3 Leo,2MASS J09373487+2931409,6.14,Vrba et al. 2004
122,N4 UMa,,6.17,SB in CNS91 disproven; additional components
123,N4 UMa B,,6.17,SB in CNS91 disproven
124,N2 Tel,,6.2,
125,N3 Lib,,6.28,
126,N1 Peg,,6.34,SB1 in Del99b
127,N1 Peg B,,6.34,SB1 in Del99b
128,N1 Peg C,,6.34,Gl 896C not in CNS91; spectroscopic companion
129,N1 Peg D,,6.34,Gl 896D not in CNS91; spectroscopic companion
130,N3 Cnc,,6.37,
131,N2 Cen,,6.38,
132,N2 Her,,6.4,
133,N2 Her B,,6.4,
134,N1 Hya,,6.4,
135,N3 Her,,6.41,
136,N3 Cen,,6.44,large HIP parallax and error; corrupted by HIP 54293
137,N4 Ori,,6.45,
138,N5 Oph,Wolf 630,6.45,
139,N5 Oph B,,6.45,
140,N5 Oph C,,6.45,Gl 644D not in CNS91
141,N5 Oph D,Wolf 629,6.45,"CNS91 ""SB"" refuted in Maz01"
142,N5 Oph E,,6.45,
143,N2 Cas,Bradley 3077,6.52,astrometric companion? in YPC
144,N2 Car,,6.53,
145,N3 Vir,,6.54,
146,N5 Dra,,6.59,
147,N4 Leo,Ross 104,6.66,
148,N2 Peg,Ross 775,6.75,SB1 in Del99b
149,N2 Peg B,,6.75,Gl 829B not in CNS91; spectroscopic companion
150,N4 Cnc,,6.77,
151,N4 Cnc B,,6.77,
152,N4 Cnc C,,6.77,
153,N2 Boo,,6.78,
154,N2 Boo B,,6.78,
155,N5 Leo,,6.8,"CNS91 ""SB"" not confirmed/refuted; RECONS: PM = 1.150; angle 225.1"
156,N5 Cnc,Ross 619,6.84,
157,N3 Peg,Ross 671,6.86,"CNS91 ""SB"" refuted in Mar89 and Tok92"
158,N7 Eri,,6.91,From RA/dec/PM etc: HIP 14101 (NSTARS) = LP 771-095 A (RECONS)
159,N7 Eri B,,6.91,"separation 7"""
160,N7 Eri C,,6.91,"separation < 2"""
161,N2 Cep,,7.06,"SB in CNS91; CNS91 ""SB"" refuted by Tok92"
162,N1 Vol,,7.08,
163,N2 Ara,,7.17,
164,N2 Ara B,,7.17,
165,N3 Psc,,7.23,
166,N2 Sco,,7.23,
167,N2 Sco B,,7.23,
168,N2 Sco C,,7.23,
169,N2 Sex,Ross 446,7.27,
170,N6 Dra,,7.27,
171,N6 Cet,,7.3,
172,N6 Cet B,,7.3,
173,N6 Cet C,,7.3,Gl 105C not in CNS91
174,N2 Scl,,7.39,interferometric quadruple
175,N2 Scl B,,7.39,interferometric companion in Lei94
176,N2 Scl C,,7.39,interferometric companion in Lei94
177,N2 Scl D,,7.39,
178,N3 Aqr,,7.44,
179,N4 Psc,Wolf 25,7.44,
180,N1 Hyi,,7.47,
181,N5 Psc,,7.48,
182,N4 Her,,7.5,SB1 in Rei97
183,N4 Her B,,7.5,spectroscopic companion
184,N1 Ser,,7.54,
185,N3 Cas,,7.54,
186,N3 Cas B,,7.54,
187,N4 Vir,Ross 490,7.54,
188,N3 Cam,,7.57,
189,N3 Ari,,7.63,
190,N2 PsA,Fomalhaut,7.66,same system as Gl 879
191,N2 PsA B,,7.66,same system as Gl 881. Updated NS id to match A comp.
192,N6 Oph,Wolf 718,7.72,
193,N2 Lyr,Vega,7.75,
194,N2 Gem,,7.76,
195,N2 Ser,,7.8,
196,N4 Cen,,7.84,
197,N1 Phe,,7.85,
198,N3 Sex,,7.86,CNS91 companion not confirmed/refuted
199,N2 Cap,,7.95,astrometric perturbation in Lip79
200,N2 Cap B,,7.95,interferometric companion in Bla87
201,N2 Cap C,,7.95,interferometric companion in Hen99
202,N1 Pup,,7.96,New RECONS parallax
203,N3 Cep,,7.99,"CNS69 companion not in CNS91: ""optical"""
204,N5 Ori,,8,
205,N5 Her,,8.02,astrometric perturbation in Lip78
206,N5 Her B,,8.02,interferometric companion in McC88
207,N7 Dra,,8.03,SB 280.55 days in YPC; additional components in; SB in Cra28
208,N7 Dra B,,8.03,spectroscopic companion
209,N2 Pup,,8.05,
210,N2 Pup B,,8.05,
211,N6 Ori,Tabit,8.06,
212,N1 Lyn,,8.06,
213,N8 Eri,,8.07,
214,N8 Eri B,,8.07,
215,N4 Aqr,,8.08,
216,N6 Her,,8.09,
217,N3 And,,8.1,
218,N5 Vir,,8.12,"CNS91 ""SB"" not confirmed/refuted"
219,N5 Aqr,,8.14,
220,N4 Cas,Ross 318,8.17,possible cpm with YPC 86.00
221,N3 Lyr,17 Lyr C,8.18,not part of the 17 Lyr system in Gic67
222,N3 Lyr B,,8.18,
223,N5 UMa,,8.19,
224,N1 Tuc,,8.2,
225,N6 Vir,Wolf 437,8.21,
226,N1 CrA,,8.21,
227,N8 Dra,,8.23,
228,N7 Vir,Wolf 489,8.24,
229,N7 Her,,8.27,SB2 in Giz96
230,N7 Her B,,8.27,GJ 1230C not in CNS91; spectroscopic companion
231,N7 Her C,,8.27,
232,N9 Eri,,8.29,large HIP parallax and error; corrupted by HIP 2
233,N2 Lep,,8.31,
234,N2 Lep B,,8.31,
235,N6 UMa,Alula Australis,8.37,SB in CNS91
236,N6 UMa B,,8.37,SB in CNS91
237,N6 UMa C,,8.37,
238,N6 UMa D,,8.37,
239,N3 Gem,Ross 64,8.38,
240,N8 Vir,,8.38,
241,N1 CVn,Chara,8.39,SB 2429.9 days in YPC
242,N1 CVn B,,8.39,companion in CHARA
243,N8 Her,,8.4,astrometric perturbation in Hei87 not confirmed/
244,N8 Her B,,8.4,
245,N8 Her C,,8.4,
246,N8 Her D,,8.4,Gl 695D not in CNS91; astrometric companion
247,N5 Cen,,8.41,
248,N3 Sco,,8.43,
249,N3 Sco B,,8.43,
250,N4 Ari,,8.5,
251,N9 Vir,,8.52,
252,N2 Hya,,8.53,
253,N7 Cet,,8.54,
254,N7 UMa,,8.58,
255,N2 Tuc,,8.59,
256,N1 Oct,,8.61,
257,N6 Aqr,,8.64,SB 4.08 days in YPC; SB2 in Her65
258,N6 Aqr B,,8.64,spectroscopic companion
259,N6 Aqr C,,8.64,
260,N1 Men,,8.74,
261,N1 Men B,,8.74,
262,N2 Mon,,8.74,
263,N2 Mon B,,8.74,
264,N7 Aqr,Wolf 1329,8.75,
265,N3 Ara,,8.76,
266,N3 Ara B,,8.76,
267,N1 Sge,Ross 730,8.76,
268,N1 Sge B,Ross 731,8.76,
269,N4 CMi,,8.77,
270,N4 CMi B,,8.77,CHANGE COORDS TO MATCH NS 0751+0000 A
271,N1 Del,,8.79,
272,N1 Del B,,8.79,Gl 791.2B not in CNS91; interferometric companion in Ben00
273,N10 Eri,,8.8,"CNS91 ""SB"" refuted in Tok92"
274,N7 Ori,,8.8,
275,N7 Ori B,,8.8,
276,N3 Cap,,8.82,"CNS91 ""SB?"" not confirmed/refuted"
277,N1 Pyx,,8.87,
278,N1 Crv,Ross 695,8.89,
279,N3 Pup,,8.9,
280,N3 Pup B,,8.9,
281,N6 Psc,,8.93,
282,N3 Lep,,8.95,CNS69 component C not in CNS91; refuted in LHS79
283,N3 Lep B,,8.95,
284,N4 Peg,,8.97,
285,N3 Hya,,8.98,
286,N11 Eri,Rana,9.02,
287,N2 CVn,Ross 1015,9.05,
288,N8 UMa,,9.08,
289,N4 Hya,,9.1,
290,N9 UMa,Groombridge 1830,9.11,A but no B in CNS91; CNS91 companion not confirmed/refuted
291,N5 Hya,,9.13,
292,N8 Cet,,9.17,SB? in CNS91
293,N1 Com,,9.19,SB 5 yrs? in YPC;
294,N1 Tau,Ross 33,9.19,
295,N4 Pav,,9.21,
296,N2 Lyn,,9.22,
297,N6 Cen,,9.24,
298,N6 Cen B,,9.24,
299,N1 Vel,,9.26,
300,N4 Lep,,9.27,
301,N2 Aur,,9.29,
302,N3 Cyg,Wolf 1069,9.3,
303,N5 Lep,,9.34,
304,N4 Cam,,9.4,
305,N9 Cet,,9.4,
306,N2 For,,9.47,
307,N10 UMa,,9.48,
308,N12 Eri,,9.49,
309,N9 Dra,,9.49,
310,N13 Eri,,9.51,
311,N2 Vel,,9.51,
312,N9 Her,,9.53,
313,N6 Hya,,9.54,
314,N6 Hya B,,9.54,
315,N2 Phe,,9.55,
316,N2 Phe B,,9.55,GJ 1001B not in CNS91
317,N7 Oph,,9.58,
318,N7 Cen,,9.58,
319,N4 Ara,,9.62,
320,N10 Dra,,9.63,
321,N1 LMi,,9.72,
322,N8 Ori,Ross 41,9.74,
323,N5 Ari,,9.77,
324,N10 Her,,9.77,
325,N8 Oph,,9.8,
326,N2 Del,,9.8,
327,N5 Ara,,9.82,
328,N4 Lib,,9.82,
329,N4 Gem,Wolf 287,9.84,
330,N2 Mic,,9.87,
331,N2 Mic B,,9.87,Gl 803 same system
332,N2 Mic C,,9.87,Gl 803 same system
333,N1 UMi,,9.87,
334,N10 Cet,,9.88,
335,N7 Hya,,9.9,
336,N3 Boo,2MASS J15010818+2250020,9.92,complete name TVLM 513-46546
337,N9 Oph,Wolf 751,9.93,"A but no B in CNS91; speckle companion? in YPC; CNS69 companion not in CNS91: ""optical"""
338,N11 Her,,9.97,
339,N5 Cas,,9.98,astrometric companion? in YPC
340,N1 Vul,,9.99,
341,N1 Aps,,10.01,
342,N11 Cet,,10.02,not combined with NS 0112-1659 because of mismatch
343,N11 UMa,,10.02,
344,N4 Boo,,10.02,
345,N4 Boo B,,10.02,imaged companion in For88
346,N4 Boo C,,10.02,
347,N4 Boo D,,10.02,
348,N6 Cas,Wolf 46,10.03,"SB? in CNS91; CNS91 ""SB?"" refuted in Tok92"
349,N6 Cas B,,10.03,
350,N8 Aqr,,10.04,
351,N8 Aqr B,,10.04,
352,N3 Aql,Wolf 1062,10.08,astrometric perturbation in Har77
353,N3 Aql B,,10.08,interferometric companion in Fra98
354,N12 UMa,,10.1,
355,N2 Men,,10.15,
356,N11 Dra,,10.15,SB3 in Del99
357,N11 Dra B,,10.15,spectroscopic companion in Sta86
358,N11 Dra C,,10.15,interferometric companion in Hen99
359,N8 Hya,,10.15,
360,N8 Hya B,,10.15,
361,N2 Oct,,10.16,
362,N10 Vir,,10.16,
363,N2 Hyi,,10.17,
364,N2 Hyi B,,10.17,
365,N6 Leo,Ross 905,10.18,
366,N9 Hya,,10.18,"CNS91 ""SB"" not confirmed/refuted but ""doubtful"""
367,N3 Vel,,10.19,large HIP parallax and error; corrupted by HIP 5
368,N4 Aql,,10.19,
369,N4 Aql B,,10.19,
370,N7 Cas,,10.19,possible cpm with YPC 202.00
371,N7 Cas B,,10.19,
372,N7 Cas C,,10.19,Gl 22C not in CNS91
373,N5 Cam,,10.2,
374,N13 UMa,,10.2,
375,N12 Cet,2MASS J01231802-1256233,10.22,
376,N12 Her,Ross 860,10.25,"CNS91 ""VAR"" refuted in Mar89"
377,N9 Aqr,Wolf 1340,10.27,
378,N14 UMa,,10.28,
379,N2 Tau,,10.31,
380,N15 UMa,,10.32,
381,N5 Gem,Pollux,10.33,
382,N2 LMi,,10.34,
383,N14 Eri,,10.34,
384,N1 Per,,10.35,
385,N5 Boo,Ross 52,10.35,
386,N5 Boo B,,10.35,
387,N1 Tri,,10.37,
388,N3 Tau,,10.38,
389,N3 Tau B,,10.38,
390,N11 Vir,Ross 119,10.41,
391,N13 Cet,Wolf 124,10.41,
392,N3 CVn,,10.41,SB? in CNS91; interferometric triple
393,N3 CVn B,,10.41,imaged companion
394,N3 CVn C,,10.41,interferometric companion in Har94
395,N10 Aqr,,10.42,
396,N2 Per,,10.43,
397,N9 Ori,,10.45,
398,N9 Ori B,,10.45,
399,N3 Mon,,10.45,
400,N3 Mon B,,10.45,
401,N15 Eri,,10.47,
402,N3 Car,,10.47,
403,N3 Lyn,,10.48,
404,N3 Lyn B,,10.48,
405,N8 Cen,,10.49,
406,N3 Per,,10.54,
407,N2 Pyx,,10.62,
408,N4 CVn,,10.62,
409,N13 Her,,10.64,"SB in CNS91; CNS91 ""SB"" is likely the AB orbit"
410,N13 Her B,,10.64,"SB? in CNS91; CNS91 ""SB? is likely the AB orbit"
411,N10 Oph,Wolf 635,10.65,
412,N10 Oph B,Wolf 636,10.65,same as YPC 3880.00
413,N5 Peg,,10.66,large HIP parallax and error; corrupted by HIP 1
414,N1 Crt,,10.66,
415,N2 Sge,,10.68,
416,N11 Aqr,,10.68,
417,N16 UMa,,10.69,
418,N6 Peg,,10.71,
419,N14 Her,,10.72,
420,N11 Oph,,10.74,SB1 in Tok91
421,N11 Oph B,,10.74,spectroscopic companion
422,N2 Vul,Ross 165,10.75,HIPnumber;noparallax
423,N2 Vul B,,10.75,
424,N5 Aql,,10.76,
425,N4 Cep,,10.78,SB 7.75 days in YPC; SB2 in Chr34
426,N4 Cep B,,10.78,spectroscopic companion
427,N4 Cep C,,10.78,
428,N15 Her,,10.8,
429,N15 Her B,,10.8,Record added from MOD1A.000620.update
430,N12 Dra,,10.81,"CNS91 ""VAR"" refuted in Tok92"
431,N12 Dra B,,10.81,
432,N2 Tri,,10.82,SB 10.0 days in YPC
433,N2 Tri B,,10.82,
434,N12 Vir,,10.82,"CNS91 ""VAR"" not confirmed/refuted"
435,N6 Boo,,10.82,
436,N4 Pup,,10.85,
437,N2 Hor,,10.88,
438,N13 Vir,Zavijah,10.89,SB? in CNS91;
439,N5 CVn,,10.9,"CNS91 ""SB?"" not confirmed/refuted"
440,N16 Eri,,10.91,
441,N14 Vir,Ross 848,10.98,
442,N8 Cas,Wolf 44,11,
443,N9 Cas,,11.04,
444,N17 Eri,,11.07,
445,N10 Ori,,11.07,
446,N13 Dra,,11.07,
447,N3 Ser,,11.09,
448,N7 Psc,,11.1,
449,N16 Her,,11.1,
450,N14 Cet,,11.1,
451,N4 Lyn,,11.11,
452,N4 Lyn B,,11.11,
453,N4 Lyn C,,11.11,astrometric companion
454,N7 Leo,Denebola,11.11,addtional components in YPC; LHS79 companion not in CNS91; not confirmed/refuted
455,N4 Ser,,11.13,
456,N4 Vel,,11.14,
457,N5 Vel,,11.14,
458,N3 LMi,,11.17,
459,N3 LMi B,,11.17,
460,N17 UMa,,11.17,HIP number; no parallax
461,N17 UMa B,,11.17,
462,N5 Lib,Wolf 1478,11.17,
463,N1 Dor,,11.18,
464,N1 Dor B,,11.18,from HIP
465,N14 Dra,,11.2,
466,N18 UMa,Ross 1003,11.24,
467,N15 Dra,,11.24,
468,N12 Oph,,11.24,
469,N4 Per,,11.25,
470,N4 Per B,,11.25,
471,N6 CVn,,11.26,
472,N6 CVn B,,11.26,HIP number; no parallax
473,N12 Aqr,,11.26,
474,N7 Boo,Arcturus,11.26,companion in HIP not real?
475,N2 Com,,11.28,
476,N2 Com B,,11.28,
477,N4 Lyr,Ross 145,11.3,
478,N8 Psc,,11.31,
479,N8 Boo,Ross 837,11.31,
480,N5 Lyr,,11.31,
481,N5 Lyr B,,11.31,
482,N8 Leo,Ross 85,11.36,
483,N9 Boo,Muphrid,11.36,SB 494.17 days in YPC; additional components in
484,N9 Boo B,,11.36,
485,N5 Ser,,11.37,
486,N18 Eri,,11.38,
487,N11 Ori,,11.38,Using Hipparcos Parallax: Yale parallax too small.
488,N3 Tuc,,11.38,
489,N15 Vir,,11.38,astrometric perturbation in Hei90
490,N15 Vir B,,11.38,adaptive optics companion in Beu01
491,N6 Aql,,11.39,
492,N16 Vir,,11.4,
493,N6 Lep,,11.41,
494,N6 Cam,,11.44,Probably single (though interferometric binary in Hen99)
495,N2 Ant,,11.46,
496,N4 Tau,,11.49,
497,N4 And,,11.49,Gl 2 same system
498,N4 And B,,11.49,Gl 2 same system
499,N4 And C,,11.49,Gl 4 same system
500,N4 And D,,11.49,
501,N19 Eri,,11.51,SB 1.56 days in YPC; eclipsing binary primary
502,N19 Eri B,,11.51,eclipsing binary secondary
503,N3 Hor,,11.52,
504,N2 Dor,,11.53,
505,N10 Boo,,11.54,SB in Bea83
506,N10 Boo B,,11.54,
507,N9 Psc,,11.55,
508,N3 Com,,11.55,"GJ 1167 B is not real; CNS79 companion not in CNS91: ""component B doesn"
509,N4 Cyg,,11.55,
510,N4 Cyg B,,11.55,from HIP
511,N7 Peg,Ross 271,11.56,
512,N10 Cas,Ross 10,11.6,HIP number; no parallax
513,N7 Aql,,11.63,SB2 in Mar87
514,N7 Aql B,,11.63,spectroscopic companion
515,N5 Lyn,,11.64," CNS91 ""SB"" not confirmed/refuted"
516,N5 Lyn B,,11.44,
517,N3 Dor,,11.65,
518,N9 Leo,,11.66,
519,N6 Lyr,,11.7,
520,N4 Mon,,11.71,
521,N19 UMa,,11.73,
522,N19 UMa B,,11.73,
523,N13 Oph,,11.73,
524,N13 Oph B,,11.73,
525,N8 Peg,,11.75,SB 10.21 days in YPC; SB in Pet49
526,N8 Peg B,,11.75,spectroscopic companion
527,N6 Ser,Ross 508,11.75,
528,N7 Ser,,11.76,
529,N9 Cen,,11.76,
530,N7 Cam,,11.79,
531,N5 Tau,,11.8,BD+04 701B does not appear to have common proper
532,N10 Cen,,11.82,
533,N17 Vir,Porrima,11.83,
534,N17 Vir B,,11.83,
535,N8 Cam,,11.84,
536,N4 Cap,Deneb Algedi,11.84,SB 1.02 days in YPC; additional components in Y; eclipsing binary primary
537,N4 Cap B,,11.84,eclipsing binary secondary
538,N5 And,,11.86,
539,N11 Boo,,11.88,
540,N11 Boo B,,11.88,from HIP
541,N5 Cyg,,11.89,
542,N2 Ind,,11.89,
543,N15 Cet,,11.92,
544,N5 Per,Ross 28,11.92,
545,N10 Leo,,11.92,
546,N17 Her,,11.98,
547,N13 Aqr,Wolf 940,11.98,
548,N11 Cas,,12,
549,N10 Psc,,12.02,
550,N10 Psc B,,12.02,from HIP; imaged companion in HIP
551,N18 Her,Wolf 654,12.03,
552,N20 UMa,,12.06,
553,N20 UMa B,,12.06,
554,N4 Sex,,12.06,SB2 in Del99b
555,N4 Sex B,,12.06,spectroscopic companion
556,N12 Boo,,12.06,
557,N12 Boo B,,12.06,
558,N12 Cas,,12.07,
559,N1 Ret,,12.09,
560,N1 Ret B,,12.09,
561,N1 TrA,,12.1,SB 12.98 days in YPC
562,N1 TrA B,,12.1,
563,N3 Ind,,12.11,
564,N11 Psc,,12.12,
565,N9 Peg,,12.14,interferometric triple
566,N9 Peg B,,12.14,imaged companion
567,N9 Peg C,,12.14,"interferometric companion in Jef93; 0.1"" from B"
568,N2 Crt,,12.15,
569,N3 Pyx,,12.17,
570,N14 Aqr,Wolf 918,12.19,
571,N12 Ori,Wolf 1539,12.22,
572,N21 UMa,,12.22,
573,N10 Peg,,12.22,
574,N3 For,,12.24,
575,N3 Aur,,12.25,
576,N3 Aur B,,12.25,
577,N6 Gem,,12.25,is YPC 1695.03 companion?
578,N2 Lup,,12.25,
579,N2 TrA,,12.31,A but no B in CNS91; additional components
580,N2 TrA B,,12.31,CNS69 companion confirmed via 2 DSS epochs
581,N20 Eri,,12.34,
582,N16 Cet,,12.35,
583,N5 Mon,,12.35,
584,N6 Cyg,,12.36,
585,N13 Ori,Ross 46,12.41,
586,N19 Her,,12.42,
587,N5 Sex,,12.42,
588,N9 Cam,,12.45,
589,N6 And,Wolf 1056,12.48,
590,N11 Cen,,12.51,
591,N11 Peg,,12.52,
592,N22 UMa,,12.53,
593,N4 For,,12.56,
594,N4 Car,,12.57,
595,N6 Ara,,12.57,
596,N6 Tau,,12.58,
597,N8 Aql,,12.58,
598,N5 Pup,,12.58,
599,N6 Cnc,,12.58,
600,N6 Cnc B,,12.58,
601,N7 And,,12.61,
602,N12 Psc,,12.61,
603,N10 Hya,,12.65,
604,N11 Leo,Ross 92,12.66,
605,N4 Aur,,12.67,
606,N5 For,,12.67,
607,N21 Eri,,12.7,
608,N8 And,,12.7,
609,N8 And B,,12.7,
610,N14 Oph,,12.71,astrometric companion? in CNS79; astrometric perturbation in Chr78 not confirmed/
611,N12 Peg,,12.72,astrometric perturbation in Bie64
612,N12 Peg B,,12.72,astrometric companion; interferometric companion in HenXX (unpublished)
613,N1 Sct,,12.74,"imaged companion in HIP but HIP says ""ambiguous"
614,N13 Boo,,12.74,
615,N13 Boo B,,12.74,eclipsing binary primary
616,N13 Boo C,,12.74,eclipsing binary secondary
617,N13 Cas,,12.76,
618,N14 Ori,,12.79,
619,N16 Dra,,12.79,
620,N15 Aqr,,12.79,
621,N12 Cen,,12.79,
622,N12 Cen B,,12.79,
623,N3 Tel,,12.79,
624,N3 Tel B,,12.79,
625,N2 Crv,,12.8,
626,N17 Dra,,12.8,"CNS91 ""SB"" refuted in Tok92"
627,N7 Cnc,,12.81,eclipsing binary primary in Del99a
628,N7 Cnc B,,12.81,eclipsing binary secondary in Del99a
629,N7 Cnc C,,12.81,
630,N15 Oph,,12.82,
631,N2 Pic,,12.83,
632,N3 Sgr,,12.87,
633,N23 UMa,,12.88,"possible third component in CNS69; SB? in CNS91; CNS91 ""SB?"" not confirmed/refuted but SB? in Duq"
634,N23 UMa B,,12.88,"SB? in CNS91; CNS91 ""VAR"" refuted in Duq91"
635,N24 UMa,,12.89,
636,N3 Men,,12.9,
637,N18 Vir,,12.9,
638,N4 Sco,,12.9,
639,N4 Sco B,,12.9,
640,N14 Cas,,12.92,
641,N5 Aur,,12.92,
642,N20 Her,,12.92,
643,N6 Aur,Capella,12.94,
644,N6 Aur B,,12.94,
645,N6 Aur C,,12.94,
646,N6 Aur D,,12.94,
647,N16 Oph,,12.95,
648,N14 Boo,Wolf 497,12.97," CNS69 companion not in CNS91: ""optical"""
649,N18 Dra,,12.99,
650,N18 Dra B,,12.99,from HIP; imaged companion in HIP
651,N19 Dra,,12.99,
652,N4 Sgr,,12.99,
653,N2 CrA,,12.99,
654,N15 Ori,Wolf 1449,13.01,
655,N5 Car,,13.08,
656,N4 Dor,,13.08,
657,N3 Scl,,13.1,
658,N6 Lyn,,13.1,
659,N9 Aql,,13.12,
660,N15 Boo,,13.12,large HIP parallax and error; corrupted by HIP 6
661,N7 CVn,,13.16,
662,N25 UMa,,13.18,
663,N3 Crt,,13.19,
664,N3 Crt B,,13.19,
665,N4 Hor,,13.19,"eclipsing SB in YPC; B optical in CNS; CNS69 companion not in CNS91: ""optical"""
666,N5 Sgr,,13.2,
667,N4 Scl,,13.21,
668,N2 UMi,,13.22,
669,N15 Cas,Ross 302,13.23,
670,N17 Cet,,13.26,SIMBAD name PLX 79 incorrect
671,N16 Ori,,13.27,SB2 in Mar87
672,N16 Ori B,,13.27,spectroscopic companion
673,N26 UMa,,13.3,
674,N22 Eri,,13.31,
675,N13 Peg,,13.32,
676,N7 Aur,,13.33,
677,N16 Aqr,,13.33,
678,N16 Aqr B,,13.33,
679,N5 Hor,,13.34,
680,N6 Lib,Ross 802,13.35,
681,N17 Aqr,,13.37,
682,N2 Gru,,13.38,
683,N20 Dra,,13.39,
684,N3 CrA,,13.39,
685,N3 CrA B,,13.39,
686,N5 Pav,,13.39,HIP number; no parallax
687,N5 Pav B,,13.39,
688,N11 Hya,,13.41,
689,N16 Boo,,13.41,
690,N3 Gru,,13.44,
691,N12 Leo,Ross 627,13.44,
692,N16 Cas,,13.44,
693,N19 Vir,Wolf 417,13.46,not combined with NS 1231+0848 because of mismatch
694,N17 Boo,,13.48,
695,N17 Boo B,,13.48,
696,N18 Boo,,13.48,
697,N18 Boo B,,13.48,
698,N10 Cam,,13.48,Parallax/PM updated since Hipparcos. CPM companion to G 192-012
699,N10 Cam B,,13.48,"CPM companion to G 192-011: 161"" away. Take plx from A comp."
700,N3 Mic,,13.49,
701,N7 Tau,,13.49,
702,N7 Cyg,,13.49,
703,N7 Cyg B,,13.49,
704,N27 UMa,Tet UMa,13.5,
705,N27 UMa B,,13.5,
706,N8 CVn,,13.52,
707,N8 CVn B,,13.52,
708,N3 PsA,,13.55,CNS91 companion refuted by HIP parallax
709,N9 And,,13.56,SB 197.9 days in YPC
710,N17 Oph,,13.57,
711,N21 Her,,13.57,
712,N12 Hya,,13.59,
713,N3 Vul,Wolf 1373,13.59,
714,N4 Gru,,13.6,
715,N4 Gru B,,13.6,
716,N13 Hya,,13.62,
717,N13 Cen,,13.62,
718,N13 Psc,,13.62,
719,N20 Vir,Wolf 414,13.64,not combined with NS 1228+0825 because of mismatch
720,N20 Vir B,,13.64,interferometric companion in Hen99
721,N5 Cap,,13.64,
722,N4 Tel,,13.67,
723,N4 Com,Ross 1020,13.68,
724,N6 Per,Ross 587,13.68,
725,N11 Cam,,13.68,
726,N5 Cep,,13.69,
727,N7 Ara,,13.69,
728,N10 Aql,Alshain,13.7,
729,N10 Aql B,,13.7,
730,N10 And,,13.72,
731,N14 Peg,,13.74,
732,N8 Tau,,13.74,
733,N1 Nor,,13.76,
734,N4 LMi,,13.77,
735,N28 UMa,,13.77,
736,N14 Psc,Wolf 1039,13.77,
737,N6 Vel,,13.79,
738,N2 Lac,,13.79,
739,N7 Lib,,13.8,
740,N15 Psc,,13.81,SB? in CNS91;
741,N6 Cep,Errai,13.81,
742,N9 Tau,,13.81,
743,N14 Hya,,13.85,
744,N8 Cyg,Wolf 1108,13.87,
745,N11 Aql,,13.89,SB2 in Tok92
746,N11 Aql B,,13.89,spectroscopic companion
747,N19 Boo,,13.89,
748,N3 Del,,13.91,
749,N18 Aqr,Wolf 906,13.92,
750,N13 Leo,,13.93,
751,N21 Vir,,13.95,
752,N4 Crt,,13.96,
753,N7 Cep,,13.97,
754,N5 Tel,,13.97,HIP 98691 optical; FIX DEC TO BE -50 03 09
755,N6 For,,13.97,
756,N23 Eri,,13.98,
757,N29 UMa,,13.99,
758,N30 UMa,,14,
759,N19 Aqr,,14.01,
760,N6 Ari,,14.01,
761,N22 Vir,,14.02,"CNS91 ""VAR"" not confirmed/refuted"
762,N22 Vir B,,14.02,
763,N24 Eri,,14.05,
764,N5 LMi,,14.05,
765,N5 LMi B,,14.05,
766,N5 Sco,,14.05,
767,N10 Tau,,14.06,
768,N8 Cnc,,14.06,
769,N31 UMa,,14.07,
770,N5 Scl,,14.07,"CNS91 ""SB"" not confirmed/refuted"
771,N20 Aqr,,14.08,
772,N20 Aqr B,,14.08,
773,N20 Aqr C,,14.08,
774,N12 Cam,,14.08,also LHS 201
775,N21 Dra,,14.09,
776,N21 Dra B,,14.09,
777,N21 Dra C,,14.1,
778,N12 Aql,,14.09,
779,N22 Her,Ross 863,14.1,
780,N3 UMi,,14.1,
781,N7 Lyr,,14.14,
782,N6 Sco,,14.15,SB in Del99b; New RECONS parallax (weighted mean for system)
783,N6 Sco B,,14.15,New RECONS parallax (weighted mean for system)
784,N6 Sco C,,14.15,spectroscopic companion
785,N6 Mon,,14.17,
786,N6 Mon B,,14.17,
787,N14 Leo,Ross 93,14.17,
788,N23 Vir,,14.17,
789,N7 For,Fornacis,14.2,
790,N7 For B,,14.2,
791,N8 Aur,,14.2,
792,N6 Sgr,,14.21,SB 46.82 days; BY Dra variable primary
793,N6 Sgr B,,14.21,BY Dra variable secondary; spectroscopic companion
794,N24 Vir,,14.22,
795,N8 Ser,Ross 513,14.22,
796,N8 Ser B,,14.22,
