"id","name",distance,"notes"
"N38 Hya","Wolf 623",20.470,""
"N5 Sge","Wolf 873",20.540,""
"N45 Vir","Wolf 1487",20.570,""
"N18 Ser","Ross 512",20.620,""
"N45 Boo","Ross 835",20.720,"SIMBAD says it is binary (Hipparcos multiple flag = G)"
"N16 Ari","Wolf 87",20.730,""
"N23 Cnc","Wolf 324",20.760,""
"N25 Gem","Ross 60",21.010,""
"N32 Cas","Ross 9",21.090,""
"N19 Ser","Ross 142",21.250,""
"N50 Vir","Ross 1044",21.280,""
"N17 Sgr","Ross 727",21.370,""
"N51 Vir","Syrma",21.400,""
"N24 Cyg","Wolf 945",21.410,""
"N33 Leo","Wolf 386",21.500,""
"N53 Vir","Ross 847",21.650,""
"N53 Her","Ross 709",21.780,""
"N51 Dra","Dsiban",22.020,""
"N28 Cyg","Gienah Cygni",22.060,"\"SB in CNS91; CNS91 \"\"SB\"\" confirmed via YPC\""
"N31 And","Ross 322",22.170,""
"N41 Tau","Wolf 1057",22.170,""
"N7 Tri","Ross 17",22.220,""
"N32 Ori","Ross 49",22.390,""
"N35 Leo","Ross 89",22.390,""
"N24 Ser","Unukalhai",22.430,""
"N31 Cyg","Ross 765",22.460,""
"N57 Vir","Heze",22.500,""
"N45 Tau","Wolf 1322",22.830,""
"N58 Cet","Wolf 1132",22.840,""
"N34 And","Ross 680",22.900,""
"N8 CMa","Ross 56",22.940,""
"N10 CrB","Alphecca",22.940,"eclipsing SB 17.36 days in YPC"
"N72 UMa","Ross 447",23.070,""
"N59 Vir","Wolf 1060",23.110,""
"N20 Per","Ross 364",23.120,"2 HIP numbers; only 1 parallax"
"N20 Per B","Ross 365",23.120,""
"N11 Lac","Ross 668",23.200,"HIP number; no parallax; C optical in CNS91"
"N61 Her","Wolf 835",23.250,""
"N49 Oph","Wolf 1471",23.310,""
"N35 Cyg","Ross 201",23.470,""
"N61 Vir","Wolf 490",23.490,""
"N20 Sgr","Kaus Borealis",23.500,""
"N50 Aqr","Wolf 1336",23.580,""
"N21 Lib","Zubenelgenubi",23.620,"\"YPC \"\"occultation double\"\" not confirmed/refuted\""
"N39 Leo","Regulus",23.750,""
"N22 Phe","Ankaa",23.750,"SB 3849 days in YPC"
"N27 Cep","Wolf 1106",23.920,""
"N28 Cep","Wolf 1080",23.940,""
"N54 Hya","Ross 687",24.030,""
"N73 Her","Sarin",24.080,""
"N41 Leo","Wolf 370",24.130,""
"N40 And","Ross 244",24.230,""
"N81 UMa","Merak",24.330,""
"N82 UMa","Ross 492",24.330,""
"N84 UMa","Mizar",24.440,"Mizar = 1323+5455 A. Hip2 puts Mizar/Alcor just outside 25 pc."
"N84 UMa E","Alcor A",24.440,"\"Alcor = 1323+5455 E: sep 708\"\" @ 70d from A (YPC95)\""
"N84 UMa F","Alcor B",24.440,"\"Alcor B detected 2009. Sep 1\"\".11 (28 AU)\""
"N12 Com","Wolf 408",24.490,""
"N51 Oph","Ross 133",24.510,""
"N7 Sge","Wolf 871",24.510,""
"N53 Peg","Ross 778",24.570,""
"N35 Gem","Ross 62",24.630,""
"N23 Sgr","Ross 162",24.630,"HIP plx shows > 25 pc"
"N52 Oph","Sabik",24.760,"CNS91 component C not confirmed/refuted"
"N89 UMa","Megrez",24.910,""
"N74 Cet","Kaffaljidhma",24.930,""
"N38 Gem B","Ross 419",24.980,"Record added from MOD1A.000620.update"
"N53 Eri","68 Eri",24.990,""
"N4 Sct","Wolf 1462",25.000,NULL
